conversion_id,click_id,affiliate_id,merchant_id,campaign_id,customer_id,product_id,session_id,converted_at,order_id,quantity,order_value,commission_rate,commission_earned,order_status,return_status
CONV_SYN_00001103,CLK_SYN_00007831,AFF020,MER0079,CAMP0048,CUST000570,B09PQR012,SES00057001,2024-01-05 13:08:15,ORD_SYN_00001103,1,399.0,0.02,7.98,Delivered,Returned
CONV_SYN_00000260,CLK_SYN_00001425,AFF019,MER0050,CAMP0030,CUST002576,B08ABC567,SES00257601,2024-01-05 13:15:21,ORD_SYN_00000260,1,59.99,0.03,1.8,Delivered,Returned
CONV_SYN_00000795,CLK_SYN_00007879,AFF010,MER0005,CAMP0008,CUST001415,B08ABC123,SES00141501,2024-01-05 18:15:07,ORD_SYN_00000795,1,2495.0,0.015,37.42,Delivered,Not Returned
CONV_SYN_00000087,CLK_SYN_00007121,AFF017,MER0052,CAMP0001,CUST003718,B07MNO012,SES00371801,2024-01-05 21:42:16,ORD_SYN_00000087,1,99.99,0.03,3.0,Delivered,Not Returned
CONV_SYN_00001887,CLK_SYN_00007341,AFF007,MER0087,CAMP0024,CUST000886,B07DEF123,SES00088602,2024-01-05 22:38:26,ORD_SYN_00001887,1,99.99,0.03,3.0,Delivered,Returned
CONV_SYN_00001607,CLK_SYN_00001765,AFF017,MER0046,CAMP0009,CUST003195,B08EFG456,SES00319501,2024-01-06 18:43:44,ORD_SYN_00001607,2,79.9,0.04,3.2,Delivered,Not Returned
CONV_SYN_00000738,CLK_SYN_00009083,AFF001,MER0088,CAMP0015,CUST000370,B09VWX234,SES00037002,2024-01-06 20:40:18,ORD_SYN_00000738,1,599.0,0.02,11.98,Delivered,Returned
CONV_SYN_00000987,CLK_SYN_00009137,AFF006,MER0008,CAMP0011,CUST003423,B08C1W5N87,SES00342302,2024-01-06 20:43:44,ORD_SYN_00000987,2,159.9,0.03,4.8,Delivered,Not Returned
CONV_SYN_00000825,CLK_SYN_00006986,AFF010,MER0060,CAMP0007,CUST001837,B08C1W5N87,SES00183703,2024-01-06 21:34:12,ORD_SYN_00000825,3,239.85,0.03,7.2,Cancelled,Not Returned
CONV_SYN_00001008,CLK_SYN_00004600,AFF010,MER0074,CAMP0005,CUST002894,B09PQR901,SES00289402,2024-01-07 01:40:51,ORD_SYN_00001008,1,349.99,0.02,7.0,Delivered,Not Returned
CONV_SYN_00000869,CLK_SYN_00005748,AFF017,MER0095,CAMP0048,CUST000862,B08QRST678,SES00086203,2024-01-07 02:08:46,ORD_SYN_00000869,1,199.99,0.02,4.0,Cancelled,Returned
CONV_SYN_00001569,CLK_SYN_00000800,AFF014,MER0007,CAMP0008,CUST001029,B08ABC567,SES00102901,2024-01-07 05:08:43,ORD_SYN_00001569,1,59.99,0.03,1.8,Cancelled,Returned
CONV_SYN_00001309,CLK_SYN_00000554,AFF017,MER0019,CAMP0016,CUST004524,B09MNOP345,SES00452401,2024-01-07 05:32:05,ORD_SYN_00001309,1,79.99,0.03,2.4,Delivered,Returned
CONV_SYN_00001877,CLK_SYN_00002672,AFF011,MER0025,CAMP0040,CUST000317,B07DEF890,SES00031701,2024-01-07 09:34:32,ORD_SYN_00001877,1,25.99,0.04,1.04,Delivered,Not Returned
CONV_SYN_00001769,CLK_SYN_00006986,AFF010,MER0060,CAMP0007,CUST001837,B08C1W5N87,SES00183703,2024-01-07 11:06:00,ORD_SYN_00001769,1,79.95,0.03,2.4,Delivered,Not Returned
CONV_SYN_00000604,CLK_SYN_00000120,AFF005,MER0064,CAMP0010,CUST002546,B07GHI789,SES00254603,2024-01-07 16:12:18,ORD_SYN_00000604,1,179.0,0.02,3.58,Delivered,Not Returned
CONV_SYN_00001229,CLK_SYN_00003860,AFF011,MER0036,CAMP0048,CUST004731,B08STU901,SES00473103,2024-01-08 11:54:36,ORD_SYN_00001229,1,379.99,0.025,9.5,Delivered,Returned
CONV_SYN_00001668,CLK_SYN_00005092,AFF013,MER0082,CAMP0025,CUST001170,B08MNO012,SES00117001,2024-01-08 14:12:53,ORD_SYN_00001668,1,149.99,0.03,4.5,Cancelled,Not Returned
CONV_SYN_00000030,CLK_SYN_00001533,AFF001,MER0098,CAMP0044,CUST003146,B09GHI123,SES00314602,2024-01-08 15:47:25,ORD_SYN_00000030,1,179.99,0.025,4.5,Delivered,Not Returned
CONV_SYN_00001348,CLK_SYN_00003103,AFF010,MER0035,CAMP0003,CUST002900,B09DEF123,SES00290001,2024-01-08 18:12:37,ORD_SYN_00001348,1,1199.0,0.015,17.98,Delivered,Not Returned
CONV_SYN_00001933,CLK_SYN_00003103,AFF010,MER0035,CAMP0003,CUST002900,B09DEF123,SES00290001,2024-01-08 22:45:37,ORD_SYN_00001933,1,1199.0,0.015,17.98,Delivered,Not Returned
CONV_SYN_00000065,CLK_SYN_00009488,AFF002,MER0013,CAMP0028,CUST003623,B09XYZ234,SES00362302,2024-01-09 13:39:10,ORD_SYN_00000065,1,348.0,0.02,6.96,Delivered,Not Returned
CONV_SYN_00000121,CLK_SYN_00007671,AFF014,MER0036,CAMP0031,CUST000993,B07VWX678,SES00099302,2024-01-09 19:06:19,ORD_SYN_00000121,1,329.0,0.02,6.58,Cancelled,Returned
CONV_SYN_00000833,CLK_SYN_00008864,AFF007,MER0036,CAMP0004,CUST001336,B09JKL789,SES00133602,2024-01-09 19:38:21,ORD_SYN_00000833,1,699.95,0.025,17.5,Delivered,Not Returned
CONV_SYN_00000315,CLK_SYN_00005816,AFF020,MER0053,CAMP0001,CUST002960,B08ABC567,SES00296002,2024-01-09 20:45:33,ORD_SYN_00000315,1,59.99,0.03,1.8,Delivered,Returned
CONV_SYN_00000336,CLK_SYN_00005788,AFF018,MER0082,CAMP0032,CUST004000,B09PQR901,SES00400001,2024-01-09 20:49:45,ORD_SYN_00000336,1,349.99,0.02,7.0,Cancelled,Returned
CONV_SYN_00000203,CLK_SYN_00000667,AFF005,MER0036,CAMP0007,CUST001539,B08STU901,SES00153902,2024-01-09 23:54:29,ORD_SYN_00000203,1,379.99,0.025,9.5,Delivered,Returned
CONV_SYN_00000909,CLK_SYN_00002310,AFF010,MER0024,CAMP0012,CUST003684,B09XYZ234,SES00368403,2024-01-10 00:25:39,ORD_SYN_00000909,1,348.0,0.02,6.96,Cancelled,Not Returned
CONV_SYN_00000290,CLK_SYN_00008750,AFF010,MER0054,CAMP0011,CUST002894,B08JKL345,SES00289402,2024-01-10 08:55:33,ORD_SYN_00000290,1,349.95,0.02,7.0,Cancelled,Not Returned
CONV_SYN_00000878,CLK_SYN_00003530,AFF011,MER0050,CAMP0050,CUST002618,B08QRST678,SES00261803,2024-01-10 14:37:12,ORD_SYN_00000878,1,199.99,0.02,4.0,Delivered,Not Returned
CONV_SYN_00001633,CLK_SYN_00006334,AFF009,MER0094,CAMP0008,CUST002546,B08N5WRWNW,SES00254601,2024-01-10 18:11:53,ORD_SYN_00001633,3,149.97,0.04,6.0,Delivered,Not Returned
CONV_SYN_00001999,CLK_SYN_00006334,AFF009,MER0094,CAMP0008,CUST002546,B08N5WRWNW,SES00254601,2024-01-10 20:32:17,ORD_SYN_00001999,1,49.99,0.04,2.0,Delivered,Returned
CONV_SYN_00001721,CLK_SYN_00007403,AFF003,MER0094,CAMP0045,CUST000508,B07HGJKL12,SES00050803,2024-01-11 04:16:50,ORD_SYN_00001721,1,249.0,0.02,4.98,Delivered,Returned
CONV_SYN_00000195,CLK_SYN_00006619,AFF010,MER0042,CAMP0032,CUST002789,B08JKL789,SES00278902,2024-01-11 05:12:42,ORD_SYN_00000195,1,25.99,0.04,1.04,Delivered,Returned
CONV_SYN_00000235,CLK_SYN_00006734,AFF016,MER0070,CAMP0009,CUST001672,B07VWX567,SES00167202,2024-01-11 12:26:02,ORD_SYN_00000235,1,99.0,0.025,2.48,Cancelled,Not Returned
CONV_SYN_00001587,CLK_SYN_00001009,AFF006,MER0009,CAMP0009,CUST003268,B08JKL012,SES00326801,2024-01-11 16:04:33,ORD_SYN_00001587,2,438.0,0.02,8.76,Cancelled,Not Returned
CONV_SYN_00000892,CLK_SYN_00002476,AFF015,MER0006,CAMP0040,CUST000063,B08N5WRWNW,SES00006301,2024-01-11 21:01:58,ORD_SYN_00000892,1,49.99,0.04,2.0,Delivered,Returned
CONV_SYN_00000701,CLK_SYN_00004671,AFF009,MER0089,CAMP0029,CUST004814,B08JKL012,SES00481401,2024-01-12 08:49:35,ORD_SYN_00000701,1,219.0,0.02,4.38,Delivered,Not Returned
CONV_SYN_00001653,CLK_SYN_00008046,AFF020,MER0055,CAMP0028,CUST004097,B09PQR678,SES00409702,2024-01-12 17:19:14,ORD_SYN_00001653,1,399.99,0.02,8.0,Delivered,Not Returned
CONV_SYN_00000654,CLK_SYN_00000712,AFF015,MER0035,CAMP0039,CUST004866,B07GHI456,SES00486603,2024-01-12 18:09:50,ORD_SYN_00000654,1,149.99,0.035,5.25,Delivered,Returned
CONV_SYN_00001332,CLK_SYN_00006449,AFF001,MER0084,CAMP0013,CUST004749,B07DEF123,SES00474903,2024-01-12 20:18:01,ORD_SYN_00001332,1,99.99,0.03,3.0,Delivered,Not Returned
CONV_SYN_00001754,CLK_SYN_00003076,AFF010,MER0048,CAMP0043,CUST003675,B09GHI123,SES00367501,2024-01-12 23:54:32,ORD_SYN_00001754,1,179.99,0.025,4.5,Delivered,Not Returned
CONV_SYN_00000309,CLK_SYN_00009613,AFF018,MER0073,CAMP0008,CUST003626,B07MNO012,SES00362601,2024-01-13 02:33:28,ORD_SYN_00000309,1,99.99,0.03,3.0,Delivered,Not Returned
CONV_SYN_00001479,CLK_SYN_00005698,AFF005,MER0079,CAMP0042,CUST004938,B08STU678,SES00493801,2024-01-13 13:59:45,ORD_SYN_00001479,1,69.99,0.03,2.1,Cancelled,Returned
CONV_SYN_00001426,CLK_SYN_00003607,AFF015,MER0024,CAMP0007,CUST002917,B09GHI123,SES00291703,2024-01-13 14:24:51,ORD_SYN_00001426,1,179.99,0.025,4.5,Delivered,Returned
CONV_SYN_00001800,CLK_SYN_00005398,AFF005,MER0051,CAMP0028,CUST002741,B08YZA567,SES00274103,2024-01-13 19:04:43,ORD_SYN_00001800,2,179.98,0.03,5.4,Cancelled,Returned
CONV_SYN_00001256,CLK_SYN_00008106,AFF005,MER0068,CAMP0034,CUST000586,B08JKL789,SES00058603,2024-01-13 20:02:49,ORD_SYN_00001256,1,25.99,0.04,1.04,Delivered,Not Returned
CONV_SYN_00001262,CLK_SYN_00001097,AFF003,MER0072,CAMP0021,CUST000636,B09VWX234,SES00063603,2024-01-13 20:21:42,ORD_SYN_00001262,1,599.0,0.02,11.98,Delivered,Returned
CONV_SYN_00000793,CLK_SYN_00005398,AFF005,MER0051,CAMP0028,CUST002741,B08YZA567,SES00274103,2024-01-13 21:42:31,ORD_SYN_00000793,1,89.99,0.03,2.7,Cancelled,Not Returned
CONV_SYN_00001697,CLK_SYN_00005451,AFF006,MER0073,CAMP0045,CUST001376,B09JKL789,SES00137602,2024-01-14 12:54:36,ORD_SYN_00001697,1,699.95,0.025,17.5,Delivered,Not Returned
CONV_SYN_00001463,CLK_SYN_00006554,AFF009,MER0035,CAMP0040,CUST003976,B08EFG456,SES00397603,2024-01-14 13:41:48,ORD_SYN_00001463,1,39.95,0.04,1.6,Delivered,Not Returned
CONV_SYN_00001665,CLK_SYN_00008109,AFF013,MER0049,CAMP0027,CUST004335,B07DEF456,SES00433502,2024-01-14 19:03:52,ORD_SYN_00001665,1,299.0,0.025,7.48,Cancelled,Not Returned
CONV_SYN_00001183,CLK_SYN_00009901,AFF016,MER0010,CAMP0037,CUST001878,B07GHI456,SES00187802,2024-01-14 22:19:00,ORD_SYN_00001183,1,149.99,0.035,5.25,Delivered,Not Returned
CONV_SYN_00000995,CLK_SYN_00004107,AFF012,MER0057,CAMP0020,CUST000901,B08ABC567,SES00090103,2024-01-15 05:52:04,ORD_SYN_00000995,1,59.99,0.03,1.8,Delivered,Returned
CONV_SYN_00001442,CLK_SYN_00000481,AFF018,MER0082,CAMP0023,CUST000473,B09PQR012,SES00047301,2024-01-15 08:44:40,ORD_SYN_00001442,2,798.0,0.02,15.96,Cancelled,Not Returned
CONV_SYN_00001283,CLK_SYN_00001140,AFF019,MER0066,CAMP0021,CUST004784,B09YZA234,SES00478403,2024-01-15 12:19:06,ORD_SYN_00001283,1,199.99,0.02,4.0,Cancelled,Not Returned
CONV_SYN_00000097,CLK_SYN_00002192,AFF019,MER0060,CAMP0006,CUST003039,B09PQR012,SES00303901,2024-01-15 14:41:40,ORD_SYN_00000097,1,399.0,0.02,7.98,Delivered,Not Returned
CONV_SYN_00000676,CLK_SYN_00007886,AFF016,MER0033,CAMP0026,CUST002150,B07VWX678,SES00215002,2024-01-16 08:32:18,ORD_SYN_00000676,1,329.0,0.02,6.58,Cancelled,Not Returned
CONV_SYN_00000799,CLK_SYN_00004276,AFF010,MER0050,CAMP0028,CUST004227,B09PQR901,SES00422702,2024-01-16 12:53:20,ORD_SYN_00000799,1,349.99,0.02,7.0,Delivered,Not Returned
CONV_SYN_00000517,CLK_SYN_00007339,AFF010,MER0012,CAMP0008,CUST004338,B09YZA234,SES00433802,2024-01-16 14:20:31,ORD_SYN_00000517,1,199.99,0.02,4.0,Delivered,Not Returned
CONV_SYN_00000966,CLK_SYN_00009921,AFF019,MER0067,CAMP0010,CUST000247,B09GHI123,SES00024701,2024-01-16 19:54:42,ORD_SYN_00000966,1,179.99,0.025,4.5,Delivered,Not Returned
CONV_SYN_00001869,CLK_SYN_00003432,AFF001,MER0083,CAMP0009,CUST004920,B07HGJKL12,SES00492001,2024-01-17 23:57:49,ORD_SYN_00001869,1,249.0,0.02,4.98,Delivered,Not Returned
CONV_SYN_00000677,CLK_SYN_00000191,AFF011,MER0015,CAMP0029,CUST003783,B07TUVW901,SES00378302,2024-01-18 11:41:05,ORD_SYN_00000677,1,149.95,0.025,3.75,Delivered,Returned
CONV_SYN_00000486,CLK_SYN_00001684,AFF018,MER0003,CAMP0016,CUST002676,B09YZA234,SES00267602,2024-01-18 13:05:39,ORD_SYN_00000486,1,199.99,0.02,4.0,Cancelled,Returned
CONV_SYN_00000007,CLK_SYN_00001374,AFF010,MER0003,CAMP0011,CUST002154,B09YZA234,SES00215403,2024-01-18 14:20:06,ORD_SYN_00000007,2,399.98,0.02,8.0,Delivered,Returned
CONV_SYN_00000477,CLK_SYN_00002153,AFF008,MER0042,CAMP0018,CUST003487,B07PQR345,SES00348702,2024-01-18 16:32:08,ORD_SYN_00000477,1,399.0,0.02,7.98,Cancelled,Not Returned
CONV_SYN_00001632,CLK_SYN_00004068,AFF001,MER0031,CAMP0007,CUST000197,B08STU345,SES00019703,2024-01-18 20:20:40,ORD_SYN_00001632,1,349.99,0.025,8.75,Cancelled,Not Returned
CONV_SYN_00001837,CLK_SYN_00006932,AFF017,MER0051,CAMP0034,CUST002971,B09GHI123,SES00297103,2024-01-19 08:41:15,ORD_SYN_00001837,1,179.99,0.025,4.5,Delivered,Not Returned
CONV_SYN_00001820,CLK_SYN_00007938,AFF019,MER0016,CAMP0003,CUST001142,B09GHI123,SES00114201,2024-01-19 11:18:13,ORD_SYN_00001820,1,179.99,0.025,4.5,Cancelled,Not Returned
CONV_SYN_00000410,CLK_SYN_00008212,AFF002,MER0027,CAMP0029,CUST001308,B09PQR012,SES00130803,2024-01-19 21:47:13,ORD_SYN_00000410,1,399.0,0.02,7.98,Cancelled,Not Returned
CONV_SYN_00000116,CLK_SYN_00002170,AFF019,MER0066,CAMP0010,CUST002048,B07VWX234,SES00204803,2024-01-20 02:31:11,ORD_SYN_00000116,1,29.99,0.04,1.2,Delivered,Not Returned
CONV_SYN_00001638,CLK_SYN_00003054,AFF004,MER0093,CAMP0010,CUST002852,B08JKL456,SES00285203,2024-01-20 09:52:00,ORD_SYN_00001638,2,199.98,0.04,8.0,Delivered,Not Returned
CONV_SYN_00001559,CLK_SYN_00005754,AFF004,MER0026,CAMP0041,CUST003963,B09YZA567,SES00396302,2024-01-20 11:18:56,ORD_SYN_00001559,1,49.99,0.03,1.5,Delivered,Not Returned
CONV_SYN_00001688,CLK_SYN_00006264,AFF011,MER0068,CAMP0048,CUST004662,B07VWX234,SES00466203,2024-01-20 15:18:06,ORD_SYN_00001688,1,29.99,0.04,1.2,Delivered,Returned
CONV_SYN_00001228,CLK_SYN_00004751,AFF018,MER0011,CAMP0022,CUST004128,B08EFG123,SES00412801,2024-01-20 16:18:15,ORD_SYN_00001228,1,79.99,0.03,2.4,Delivered,Returned
CONV_SYN_00001938,CLK_SYN_00001872,AFF020,MER0091,CAMP0008,CUST003046,B08ABC123,SES00304602,2024-01-20 16:30:48,ORD_SYN_00001938,1,2495.0,0.015,37.42,Delivered,Not Returned
CONV_SYN_00000597,CLK_SYN_00008982,AFF011,MER0028,CAMP0021,CUST001794,B09GHI789,SES00179401,2024-01-20 23:34:04,ORD_SYN_00000597,1,49.99,0.04,2.0,Delivered,Not Returned
CONV_SYN_00000346,CLK_SYN_00009634,AFF017,MER0051,CAMP0005,CUST003492,B09YZA890,SES00349201,2024-01-21 00:30:04,ORD_SYN_00000346,1,98.0,0.03,2.94,Delivered,Returned
CONV_SYN_00000637,CLK_SYN_00002425,AFF011,MER0093,CAMP0048,CUST000556,B09MNOP345,SES00055601,2024-01-21 09:49:01,ORD_SYN_00000637,1,79.99,0.03,2.4,Delivered,Not Returned
CONV_SYN_00001694,CLK_SYN_00009744,AFF018,MER0079,CAMP0002,CUST001804,B08ABC123,SES00180402,2024-01-21 12:25:53,ORD_SYN_00001694,1,2495.0,0.015,37.42,Cancelled,Not Returned
CONV_SYN_00001040,CLK_SYN_00005545,AFF003,MER0003,CAMP0017,CUST002007,B08YZA567,SES00200703,2024-01-21 12:58:43,ORD_SYN_00001040,1,89.99,0.03,2.7,Delivered,Returned
CONV_SYN_00001730,CLK_SYN_00002975,AFF019,MER0098,CAMP0026,CUST001717,B07DEF890,SES00171702,2024-01-21 21:06:05,ORD_SYN_00001730,2,51.98,0.04,2.08,Delivered,Not Returned
CONV_SYN_00001623,CLK_SYN_00008903,AFF002,MER0038,CAMP0039,CUST002244,B07GHI789,SES00224402,2024-01-22 13:08:16,ORD_SYN_00001623,1,179.0,0.02,3.58,Delivered,Returned
CONV_SYN_00000778,CLK_SYN_00000511,AFF004,MER0082,CAMP0016,CUST004381,B09HIJ012,SES00438103,2024-01-22 14:43:23,ORD_SYN_00000778,2,279.98,0.04,11.2,Delivered,Not Returned
CONV_SYN_00000326,CLK_SYN_00005124,AFF019,MER0025,CAMP0038,CUST000272,B08JKL456,SES00027202,2024-01-22 16:07:05,ORD_SYN_00000326,1,99.99,0.04,4.0,Delivered,Not Returned
CONV_SYN_00000367,CLK_SYN_00004151,AFF011,MER0076,CAMP0050,CUST001423,B08ABC890,SES00142302,2024-01-22 23:42:02,ORD_SYN_00000367,2,499.98,0.025,12.5,Delivered,Returned
CONV_SYN_00001324,CLK_SYN_00005954,AFF003,MER0100,CAMP0011,CUST000397,B07BCD890,SES00039702,2024-01-23 03:03:56,ORD_SYN_00001324,1,799.99,0.02,16.0,Delivered,Not Returned
CONV_SYN_00001450,CLK_SYN_00002328,AFF017,MER0073,CAMP0002,CUST001946,B07EFG567,SES00194602,2024-01-23 04:46:20,ORD_SYN_00001450,1,449.95,0.025,11.25,Delivered,Returned
CONV_SYN_00000934,CLK_SYN_00001115,AFF016,MER0049,CAMP0033,CUST000835,B07BCD890,SES00083503,2024-01-23 07:12:00,ORD_SYN_00000934,1,799.99,0.02,16.0,Cancelled,Not Returned
CONV_SYN_00000413,CLK_SYN_00006004,AFF009,MER0054,CAMP0006,CUST003267,B09PQR345,SES00326701,2024-01-23 11:24:39,ORD_SYN_00000413,2,179.98,0.03,5.4,Delivered,Not Returned
CONV_SYN_00001475,CLK_SYN_00004358,AFF008,MER0078,CAMP0042,CUST004504,B07MNO789,SES00450403,2024-01-23 20:51:52,ORD_SYN_00001475,1,199.95,0.03,6.0,Cancelled,Not Returned
CONV_SYN_00000310,CLK_SYN_00005074,AFF020,MER0080,CAMP0001,CUST000062,B08ABC123,SES00006203,2024-01-23 23:06:26,ORD_SYN_00000310,1,2495.0,0.015,37.42,Delivered,Not Returned
CONV_SYN_00001813,CLK_SYN_00004151,AFF011,MER0076,CAMP0050,CUST001423,B08ABC890,SES00142302,2024-01-24 01:23:26,ORD_SYN_00001813,1,249.99,0.025,6.25,Delivered,Not Returned
CONV_SYN_00001572,CLK_SYN_00006008,AFF004,MER0008,CAMP0050,CUST002037,B08BCD234,SES00203701,2024-01-24 02:49:22,ORD_SYN_00001572,1,497.99,0.02,9.96,Cancelled,Not Returned
CONV_SYN_00000419,CLK_SYN_00005391,AFF019,MER0086,CAMP0018,CUST002420,B09MNOP345,SES00242001,2024-01-24 05:29:08,ORD_SYN_00000419,2,159.98,0.03,4.8,Cancelled,Not Returned
CONV_SYN_00001301,CLK_SYN_00009930,AFF005,MER0061,CAMP0045,CUST002393,B08STU345,SES00239303,2024-01-24 15:34:28,ORD_SYN_00001301,1,349.99,0.025,8.75,Delivered,Returned
CONV_SYN_00001186,CLK_SYN_00008306,AFF003,MER0079,CAMP0020,CUST003451,B07MNO789,SES00345103,2024-01-24 18:06:38,ORD_SYN_00001186,1,199.95,0.03,6.0,Delivered,Not Returned
CONV_SYN_00001996,CLK_SYN_00005286,AFF019,MER0064,CAMP0017,CUST003726,B08JKL456,SES00372603,2024-01-25 10:34:42,ORD_SYN_00001996,1,99.99,0.04,4.0,Cancelled,Not Returned
CONV_SYN_00000794,CLK_SYN_00003841,AFF017,MER0075,CAMP0030,CUST000765,B08ABC567,SES00076501,2024-01-25 10:43:48,ORD_SYN_00000794,1,59.99,0.03,1.8,Delivered,Not Returned
CONV_SYN_00001746,CLK_SYN_00005939,AFF006,MER0073,CAMP0017,CUST004543,B08ABC123,SES00454301,2024-01-26 01:41:38,ORD_SYN_00001746,1,2495.0,0.015,37.42,Cancelled,Not Returned
CONV_SYN_00001720,CLK_SYN_00004299,AFF017,MER0078,CAMP0025,CUST000286,B09HIJ012,SES00028603,2024-01-26 01:51:28,ORD_SYN_00001720,1,139.99,0.04,5.6,Delivered,Not Returned
CONV_SYN_00000392,CLK_SYN_00009620,AFF011,MER0060,CAMP0015,CUST004543,B08N5WRWNW,SES00454301,2024-01-26 05:03:54,ORD_SYN_00000392,1,49.99,0.04,2.0,Delivered,Not Returned
CONV_SYN_00000630,CLK_SYN_00000796,AFF002,MER0073,CAMP0025,CUST001045,B08JKL345,SES00104502,2024-01-26 05:17:18,ORD_SYN_00000630,1,349.95,0.02,7.0,Delivered,Not Returned
CONV_SYN_00000767,CLK_SYN_00000839,AFF014,MER0080,CAMP0004,CUST004008,B08ABC567,SES00400802,2024-01-26 06:27:49,ORD_SYN_00000767,1,59.99,0.03,1.8,Cancelled,Not Returned
CONV_SYN_00001941,CLK_SYN_00002350,AFF003,MER0036,CAMP0018,CUST003508,B07MNO012,SES00350802,2024-01-26 07:37:11,ORD_SYN_00001941,1,99.99,0.03,3.0,Delivered,Not Returned
CONV_SYN_00001065,CLK_SYN_00003020,AFF015,MER0048,CAMP0046,CUST000301,B08JKL012,SES00030102,2024-01-26 08:15:17,ORD_SYN_00001065,1,219.0,0.02,4.38,Delivered,Not Returned
CONV_SYN_00001617,CLK_SYN_00001082,AFF012,MER0048,CAMP0050,CUST000223,B08STU678,SES00022303,2024-01-26 11:46:34,ORD_SYN_00001617,2,139.98,0.03,4.2,Delivered,Not Returned
CONV_SYN_00001657,CLK_SYN_00005286,AFF019,MER0064,CAMP0017,CUST003726,B08JKL456,SES00372603,2024-01-27 03:43:06,ORD_SYN_00001657,1,99.99,0.04,4.0,Cancelled,Not Returned
CONV_SYN_00000765,CLK_SYN_00005138,AFF020,MER0047,CAMP0027,CUST004010,B09PQR012,SES00401002,2024-01-27 04:17:45,ORD_SYN_00000765,1,399.0,0.02,7.98,Delivered,Returned
